Username,AverageAnnotation,ProfileInfo
threelilbirdsss,0.05333333333333334,"['description: Mom. Wife. Career Lady. TV Junkie. Fangirl. Traveler.\n', 'followers: 349\n', 'following: 433\n', 'total tweet number: 39763\n', 'created_at: Fri Jun 21 18:31:56 +0000 2013\n', 'favorites_count: 1758\n', 'listed_count: 14\n']"
caitlynsalalala,-0.14285714285714285,"[""description: Hi. I'm addicted to video games and makeup.\n"", 'followers: 45\n', 'following: 160\n', 'total tweet number: 3571\n', 'created_at: Sat Feb 22 05:12:26 +0000 2014\n', 'favorites_count: 244\n', 'listed_count: 5\n']"
Galafani1,0.014492753623188406,
_takeachantz,-0.36486486486486486,"[""description: 412 | IUP'17 | Live Life | Don't follow me if you won't like that pic\n"", 'followers: 484\n', 'following: 398\n', 'total tweet number: 18045\n', 'created_at: Fri Sep 21 12:06:17 +0000 2012\n', 'favorites_count: 434\n', 'listed_count: 8\n']"
Sizzurp_713,-0.36764705882352944,"['description: knowledge Is Power.\n', 'followers: 125\n', 'following: 108\n', 'total tweet number: 2284\n', 'created_at: Mon Jun 18 02:36:21 +0000 2012\n', 'favorites_count: 314\n', 'listed_count: 1\n']"
righteoustiger,0.0410958904109589,"[""description: i'm not scared of ghosts; i embrace them all as friends.\n"", 'followers: 221\n', 'following: 408\n', 'total tweet number: 9383\n', 'created_at: Tue Sep 30 02:40:56 +0000 2014\n', 'favorites_count: 3196\n', 'listed_count: 1\n']"
toraye_,-0.07894736842105263,"['description: Jordan Stewart \xe2\x80\xa2 puppies \xe2\x80\xa2 bowling \xe2\x80\xa2 feminist \xe2\x80\xa2 taking life one day at a time\n', 'followers: 482\n', 'following: 349\n', 'total tweet number: 20120\n', 'created_at: Mon Sep 10 12:52:28 +0000 2012\n', 'favorites_count: 17639\n', 'listed_count: 0\n']"
xntisxcial,-0.19117647058823528,"['description: jack\n', 'followers: 170\n', 'following: 209\n', 'total tweet number: 6490\n', 'created_at: Sun Mar 15 16:23:35 +0000 2015\n', 'favorites_count: 2284\n', 'listed_count: 3\n']"
IBJIYONGI,0.24615384615384617,"['description: C Prescod-Weinstein: astro | physicist, #BlackandSTEM, #agender/cissex female, Editor in Chief @TheOffingMag, & #KPop/#VIP. #Pilates. Pro-Academic Freedom.\n', 'followers: 6775\n', 'following: 2989\n', 'total tweet number: 45203\n', 'created_at: Mon Jun 02 16:15:41 +0000 2008\n', 'favorites_count: 21349\n', 'listed_count: 350\n']"
ShainaDawnn,-0.5285714285714286,"['description: lit. \xe2\x98\x86 Snapchat: thatgirlshainaa  Instagram: shaina_dawnn\n', 'followers: 1374\n', 'following: 839\n', 'total tweet number: 37172\n', 'created_at: Sat Mar 24 01:35:41 +0000 2012\n', 'favorites_count: 14129\n', 'listed_count: 0\n']"
Ajinkyaworld,-0.08196721311475409,"[""description: Football is the most beautiful game & No one Plays it Better than #Barcelona . Visca El' Barca\n"", 'followers: 474\n', 'following: 702\n', 'total tweet number: 6637\n', 'created_at: Thu Jul 14 10:34:38 +0000 2011\n', 'favorites_count: 1212\n', 'listed_count: 4\n']"
e4c5,-0.05555555555555555,"['description: Chess playing geek who loves trees and hates people who cut them down.\n', 'followers: 2154\n', 'following: 640\n', 'total tweet number: 15234\n', 'created_at: Wed Nov 05 09:10:13 +0000 2008\n', 'favorites_count: 789\n', 'listed_count: 53\n']"
Calibre266,-0.2463768115942029,"['description: Soon to be the King\n', 'followers: 43\n', 'following: 249\n', 'total tweet number: 486\n', 'created_at: Tue Apr 21 17:19:07 +0000 2015\n', 'favorites_count: 640\n', 'listed_count: 1\n']"
Tinijensen,-0.015384615384615385,"[""description: hardcore since '94.\n"", 'followers: 319\n', 'following: 222\n', 'total tweet number: 4963\n', 'created_at: Thu Nov 03 02:33:09 +0000 2011\n', 'favorites_count: 1537\n', 'listed_count: 0\n']"
stina_wilson,0.1232876712328767,"[""description: A rock + 80/90s pop music/wrestling/bollywood lover,closer to get the BA & artist in the sparetime [@stinadamus] Livin' life in the most craazy attitude!\n"", 'followers: 141\n', 'following: 193\n', 'total tweet number: 21971\n', 'created_at: Tue Nov 10 17:44:48 +0000 2009\n', 'favorites_count: 8066\n', 'listed_count: 4\n']"
CLF_423,0.11428571428571428,"['description: This is not my politics account. I tweet very little abt politics on this account. My politics account is @cfreelakers24. Politics followers follow that acct.\n', 'followers: 769\n', 'following: 198\n', 'total tweet number: 140168\n', 'created_at: Mon Jun 27 20:45:12 +0000 2011\n', 'favorites_count: 54267\n', 'listed_count: 63\n']"
chelsreynolds1,0.5285714285714286,
CharMeLoDi,-0.014084507042253521,"['description: Positive And Negative. Healthy Lifestyle via @Mealsaps. Vegan VixXxens Join via @VeganVixXxens. My Art via https://t.co/D8EqvPqo8l. My Podcast @HannibalGate.\n', 'followers: 12336\n', 'following: 4886\n', 'total tweet number: 306297\n', 'created_at: Mon Jul 13 05:46:02 +0000 2009\n', 'favorites_count: 17742\n', 'listed_count: 211\n']"
yessequitur,-0.14473684210526316,"['description: whitney / 21 / \xe2\x99\x80 / witch of time / i have way too many hobbies & my activity here is sporadic as fuck / PART OF THE @AUDMONSTERS COLLECTIVE\n', 'followers: 526\n', 'following: 713\n', 'total tweet number: 15054\n', 'created_at: Tue Oct 21 08:17:41 +0000 2014\n', 'favorites_count: 49086\n', 'listed_count: 14\n']"
bridezilla_life,0.09836065573770492,
NASCAR_WXMAN,0.5466666666666666,"['description: Unofficial NASCAR Meteorologist providing accurate weather forecasts for Sprint Cup/ Xfinity/ Camping World Trucks each week on Twitter & http://t.co/RK1NDY5mbD\n', 'followers: 33519\n', 'following: 18229\n', 'total tweet number: 41472\n', 'created_at: Fri Sep 26 14:56:23 +0000 2008\n', 'favorites_count: 217\n', 'listed_count: 1065\n']"
DeanneCP,0.9552238805970149,"['description: Stop and smell the roses. Live life to the fullest. Love my BELIEVE tattoo, and what it represents.\n', 'followers: 289\n', 'following: 702\n', 'total tweet number: 9227\n', 'created_at: Mon Nov 30 01:02:03 +0000 2009\n', 'favorites_count: 270\n', 'listed_count: 7\n']"
mpparimal,0.6285714285714286,"['description: Rajya Sabha - MP; Group President - RIL; Vice President - GCA; Vice Chairman - Dwarka Temple (Tweets/views are personal)\n', 'followers: 367199\n', 'following: 352\n', 'total tweet number: 4368\n', 'created_at: Mon Apr 07 10:48:10 +0000 2014\n', 'favorites_count: 110280\n', 'listed_count: 80\n']"
rdelvillano,0.5507246376811594,"['description: I draw comics and write about video games for Nintendo Life.\n', 'followers: 417\n', 'following: 217\n', 'total tweet number: 6116\n', 'created_at: Sat Apr 11 05:18:10 +0000 2009\n', 'favorites_count: 2404\n', 'listed_count: 14\n']"
Jimboslim3,1.8888888888888888,"['description: Classic Rock, former Radio DJ, thoughts and observations on life,   inspirations.. #healingthoughts  exploring new career and   business opportunities ..\n', 'followers: 1860\n', 'following: 1753\n', 'total tweet number: 11566\n', 'created_at: Fri Apr 16 21:29:48 +0000 2010\n', 'favorites_count: 1842\n', 'listed_count: 12\n']"
asmallmind,0.410958904109589,"['description: Flights of fantasy from a single brain cell. Views are my own, unless someone has hacked my account. Do a bit of theatre reviewing as well.\n', 'followers: 789\n', 'following: 1243\n', 'total tweet number: 27469\n', 'created_at: Tue Apr 26 16:10:42 +0000 2011\n', 'favorites_count: 7657\n', 'listed_count: 33\n']"
victoria_alvaa,-0.14864864864864866,"[""description: I'm just chillin // sc: victoria_alva7\n"", 'followers: 620\n', 'following: 270\n', 'total tweet number: 61022\n', 'created_at: Thu Aug 16 04:47:19 +0000 2012\n', 'favorites_count: 34915\n', 'listed_count: 0\n']"
AlisonGrasmeyer,-0.17721518987341772,"['description: Love many, trust few, always paddle your own canoe\n', 'followers: 92\n', 'following: 97\n', 'total tweet number: 1097\n', 'created_at: Wed Oct 17 19:27:27 +0000 2012\n', 'favorites_count: 626\n', 'listed_count: 0\n']"
IsaFueled,1.208955223880597,"['description: Savvy entrepreneur, crazed, nutty tennis player, health and wellness coach, motivator, , simply loves life!\n', 'followers: 239\n', 'following: 202\n', 'total tweet number: 6986\n', 'created_at: Wed Nov 20 19:01:56 +0000 2013\n', 'favorites_count: 2\n', 'listed_count: 7\n']"
